City,State,Latitude,Longitude,Pop
Mosbach,Germany,49.353889,9.142778,25474
Griesheim,Germany,49.862778,8.575278,25432
Auerbach,Germany,50.516667,12.4,25430
Ellwangen,Germany,48.966667,10.133333,25396
Reinbek,Germany,53.516667,10.25,25357
Lohne,Germany,52.666667,8.233333,25332
Varel,Germany,53.4,8.133333,25303
Ingelheim,Germany,49.980556,8.073611,25296
Zirndorf,Germany,49.45,10.95,25237
Bedburg,Germany,51,6.583333,25224
Netphen,Germany,50.916667,8.1,25187
Delitzsch,Germany,51.533333,12.35,25160
Pfungstadt,Germany,49.806389,8.606944,25151
Wolfen,Germany,51.666667,12.283333,25144
Attendorn,Germany,51.116667,7.9,25014
Roth,Germany,49.245,11.091111,24959
Waldkraiburg,Germany,48.216667,12.4,24939
Wertheim,Germany,49.7575,9.509444,24920
Friedrichsdorf,Germany,50.266667,8.65,24897
Bingen,Germany,49.966667,7.9,24844
Ludwigsfelde,Germany,52.3,13.266667,24823
Dillenburg,Germany,50.733333,8.283333,24772
Norden,Germany,53.6,7.2,24686
Korbach,Germany,51.283333,8.866667,24657
Aschersleben,Germany,51.75,11.466667,24569
Verl,Germany,51.883333,8.516667,24532
Olching,Germany,48.2,11.333333,24526
Weiterstadt,Germany,49.907778,8.595278,24499
Walsrode,Germany,52.866667,9.6,24439
Warburg,Germany,51.5,9.166667,24399
Freudenstadt,Germany,48.433333,8.416667,24384
Apolda,Germany,51.016667,11.5,24380
Salzkotten,Germany,51.666667,8.6,24369
Sonneberg,Germany,50.35,11.166667,24351
Werdau,Germany,50.733333,12.383333,24299
Radevormwald,Germany,51.2,7.35,24298
Obertshausen,Germany,50.083333,8.85,24280
Wallenhorst,Germany,52.35,8.016667,24279
Achern,Germany,48.633333,8.066667,24272
Ditzingen,Germany,48.833333,9.066667,24255
Calw,Germany,48.716667,8.733333,24220
Lüdinghausen,Germany,51.766667,7.466667,24218
Lindau,Germany,47.55,9.683333,24161
Salzwedel,Germany,52.85,11.15,24144
Syke,Germany,52.9,8.833333,24084
Schleswig,Germany,54.516667,9.55,24061
Bad Oldesloe,Germany,53.816667,10.383333,23982
Greiz,Germany,50.65,12.2,23931
Weingarten,Germany,47.8,9.633333,23928
Harsewinkel,Germany,51.966667,8.233333,23910
Ronnenberg,Germany,52.316667,9.65,23604
Wipperfürth,Germany,51.116667,7.4,23507
Fröndenberg,Germany,51.466667,7.766667,23499
Nagold,Germany,48.55,8.716667,23486
Stadthagen,Germany,52.316667,9.2,23474
Idstein,Germany,50.233333,8.266667,23432
Geretsried,Germany,47.866667,11.466667,23377
Sangerhausen,Germany,51.466667,11.3,23301
Schwetzingen,Germany,49.378056,8.581944,23270
Herzogenaurach,Germany,49.55,10.883333,23229
Markkleeberg,Germany,51.283333,12.4,23220
Eckernförde,Germany,54.466667,9.833333,23184
Öhringen,Germany,49.201667,9.503889,23068
Quedlinburg,Germany,51.783333,11.15,23057
Haren,Germany,52.783333,7.233333,23038
Blieskastel,Germany,49.233333,7.25,22938
Annaberg-Buchholz,Germany,50.566667,13,22849
Duderstadt,Germany,51.516667,10.266667,22842
Starnberg,Germany,48,11.35,22827
Lindlar,Germany,51.016667,7.383333,22752
Büren,Germany,51.55,8.566667,22703
Hohen Neuendorf,Germany,52.666667,13.283333,22687
Bad Harzburg,Germany,51.883333,10.566667,22670
Rees,Germany,51.766667,6.4,22654
Waldshut-Tiengen,Germany,47.616667,8.216667,22648
Leutkirch,Germany,47.825,10.016667,22645
Lengerich,Germany,52.183333,7.866667,22642
Reichenbach,Germany,50.616667,12.3,22569
Wülfrath,Germany,51.283333,7.05,22549
Forst,Germany,51.733333,14.633333,22521
Crimmitschau,Germany,50.816667,12.383333,22410
Sehnde,Germany,52.316667,9.95,22400
Marsberg,Germany,51.45,8.85,22361
Jüchen,Germany,51.1,6.5,22333
Neustrelitz,Germany,53.366667,13.083333,22312
Vreden,Germany,52.033333,6.833333,22250
Westerstede,Germany,53.25,7.933333,22209
Senden,Germany,48.316667,10.066667,22199
Büdingen,Germany,50.3,9.116667,22157
Rotenburg,Germany,53.116667,9.4,22108
Soltau,Germany,52.983333,9.833333,22108
Bad Mergentheim,Germany,49.4925,9.773611,22072
Metzingen,Germany,48.533333,9.266667,22034
Alfter,Germany,50.733333,7.016667,22028
Seesen,Germany,51.9,10.183333,21976
Coswig,Germany,51.133333,13.583333,21965
Sondershausen,Germany,51.366667,10.866667,21954
Meinerzhagen,Germany,51.116667,7.65,21907
Elsdorf,Germany,50.933333,6.566667,21901
Stadtallendorf,Germany,50.833333,9.016667,21789
Bad Pyrmont,Germany,51.983333,9.25,21741
Karben,Germany,50.233333,8.75,21718
Kitzingen,Germany,49.733333,10.166667,21705
Donaueschingen,Germany,47.95,8.5,21699
Lebach,Germany,49.4,6.916667,21665
Weilheim,Germany,47.833333,11.15,21635
Überlingen,Germany,47.766667,9.166667,21613
Guben,Germany,51.95,14.716667,21602
Lichtenfels,Germany,50.15,11.066667,21586
Meiningen,Germany,50.55,10.416667,21570
Eschwege,Germany,51.183333,10.066667,21546
Traunreut,Germany,47.966667,12.6,21535
Bad Kissingen,Germany,50.2,10.083333,21527
Sonthofen,Germany,47.516667,10.283333,21512
Waren,Germany,53.516667,12.683333,21504
Wilnsdorf,Germany,50.816667,8.1,21498
Eppingen,Germany,49.136944,8.910278,21457
Dillingen,Germany,49.35,6.733333,21451
Bad Soden,Germany,50.133333,8.5,21418
Gelnhausen,Germany,50.2,9.183333,21417
Wittmund,Germany,53.566667,7.783333,21417
Herborn,Germany,50.683333,8.316667,21404
Löbau,Germany,51.1,14.666667,21398
Lübbenau,Germany,51.866667,13.966667,21356
Döbeln,Germany,51.116667,13.116667,21318
Xanten,Germany,51.666667,6.45,21294
Alfeld,Germany,51.983333,9.833333,21258
Schortens,Germany,53.533333,7.95,21251
Versmold,Germany,52.05,8.15,21227
Luckenwalde,Germany,52.083333,13.166667,21217
